lat_avg,lng_avg,count_qualified,percent_covered,percent_qualified,yearly_sunlight_kwh_n,yearly_sunlight_kwh_e,yearly_sunlight_kwh_s,yearly_sunlight_kwh_w,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_total,carbon_offset_metric_tons,kw_total
40.35092926025391,-79.6475067138672,222,16.774193548387096,94.87179487179488,280223.55140380864,649996.4578247073,799549.2422546387,642152.7922973634,941.81697171381,2412885.624163819,1997.5169180084977,2176.25
33.97719192504883,-118.19651794433594,640,93.86562804284321,66.39004149377594,824875.0929016115,982723.9250610352,2643957.4185974128,1146809.7239440917,1285.3541130386104,10028316.658837885,2734.030230690311,6624.25
39.924781799316406,-76.79412078857422,171,24.16317991631799,74.02597402597402,152549.55011596676,155645.8729858398,747477.2709594727,240528.03094482425,1000.45,4003077.5703369128,2543.7982009656976,3355.5
28.094806671142575,-82.46640014648438,449,99.65217391304348,78.35951134380454,1131518.8181762698,1550393.00067749,2942531.06727295,1908702.577789307,1161.95,15102036.697509767,8072.348513449373,11185.5
33.64816665649414,-86.8373031616211,3222,98.74067164179105,76.09825224374113,2629459.8070800784,9733635.113574218,15997969.773321526,11292596.6140625,1070.15,58799045.45375371,34961.093874437625,46805.75
37.027488708496094,-113.54868316650392,1729,98.82352941176472,85.76388888888889,511548.65714721696,5555273.149267583,10949995.245092794,8313514.340997323,1377.85,47062808.91981201,12514.393554625223,29078.5
42.46537399291992,-83.40058135986328,523,98.62385321100915,81.08527131782945,1845458.7895202632,2011181.1819519056,3622041.945709229,2523634.5859680194,957.95,13730393.69592285,10814.486791125984,12269.25
25.76512718200684,-80.36073303222656,1228,99.9194198227236,99.03225806451613,5015690.639422606,4388655.748529052,7620874.167181394,5130583.821569826,1176.4,28296343.24317016,15124.976113501476,20532.75
32.501312255859375,-84.95825958251953,661,99.77324263038547,75.11363636363636,1142507.1389099122,1855812.9711364731,3170024.6063720696,2677049.3501708983,1095.65,18655697.15383911,11092.41781826937,14341.75
37.53286361694336,-77.4236831665039,499,100.0,69.9859747545582,360770.1132629394,1467108.889202881,1151758.518157959,890900.3678588866,1055.7,15027328.292895503,8821.740419613225,12143.75
33.72078323364258,-84.20435333251953,1226,99.8792270531401,74.12333736396614,2243005.8353515626,2613870.5221557613,6131855.4987854045,3578181.521850585,1083.75,23938630.28214719,14233.576311674227,18731.5
28.216392517089844,-82.32430267333984,1144,51.04257167680278,97.36170212765957,1119195.961749268,4713087.634124758,8479614.93279419,6034218.94701539,1169.6,35090727.48834226,18756.71391548701,25289.25
41.70036315917969,-73.91844177246092,584,98.81422924901186,77.86666666666666,157668.3497253418,971260.2082092285,1780319.8298583971,596325.1391052244,986.85,15174613.96255494,5545.087936662837,13035.25
42.9270133972168,-78.87248229980467,537,99.42922374429224,61.653272101033295,63071.56677246094,524150.060192871,1484716.3277160656,1146252.361865234,934.15,4100692.23574829,1498.4696878961872,3855.25
27.812480926513672,-82.62509155273438,1802,99.79455572675911,92.74318064848173,3579665.5242126463,4901876.1155761685,9195762.829565434,7183082.9727905365,1200.2,43195719.638006575,23088.998536517596,30605.0
37.7657585144043,-120.83068084716795,3318,96.73469387755102,93.33333333333333,6209404.986688234,13191422.67609864,19730303.372326683,16287353.765698262,1237.6,97625659.31739496,26615.783380713616,66553.75
36.05357360839844,-95.93119049072264,597,99.37888198757763,74.625,179207.58619384764,2124666.1476623537,4391433.145422363,3522284.222259521,1103.3,12964025.324377447,8769.831055153662,10336.0
33.98827362060547,-117.85417938232422,1518,99.87204094689699,97.24535554131968,1776499.5994873045,6519526.061444097,11075939.91515504,8396169.595867923,1285.2086434018952,32479642.748010203,8854.958232379153,21879.75
34.22072219848633,-119.05364990234376,925,99.69788519637463,93.43434343434345,638157.9064331055,3490466.5834594723,4600475.296862795,4757967.509094238,1322.6,37882079.83085944,10327.830181520756,24616.75
41.48908996582031,-81.59832763671875,486,99.84756097560977,74.19847328244275,1138028.1264770506,586156.258734131,1651392.6158386224,940280.2299865723,932.45,6795116.504400632,5625.364104062273,6287.75
40.34775161743164,-79.8154296875,2142,99.81412639405205,79.77653631284916,1834441.8888854969,4439280.697857664,5432932.644079598,5127629.730511476,948.6,23142378.58718872,19158.509747799173,20996.5
